name,longitude,latitude,key,family,genus,species,stateProvince,year,month,day,eventDate,countryCode,county,true_name
"Colias eurytheme Boisduval, 1852",-119.773,34.547,1848289909,Pieridae,Colias,Colias eurytheme,NA,1994,3,17,1994-03-17,US,CA,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.441543,34.267715,1039167867,Pieridae,Colias,Colias eurytheme,California,1986,3,11,1986-03-11,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748094,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.44536,34.67693,1825747683,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748348,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.44536,34.67693,1825747725,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825747692,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825747726,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.44536,34.67693,1825747842,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748099,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1039168128,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748213,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748199,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.56092,34.60777,1039122821,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748155,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825747717,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825747776,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.44536,34.67693,1825748059,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748403,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825747699,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.44536,34.67693,1039185113,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.44536,34.67693,1825747865,Pieridae,Colias,Colias eurytheme,California,1977,8,21,1977-08-21,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825747714,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.858,34.435,1825748152,Pieridae,Colias,Colias eurytheme,California,1977,8,27,1977-08-27,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.75167,34.06389,1825747976,Pieridae,Colias,Colias eurytheme,California,1973,4,20,1973-04-20,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.75167,34.06389,1825748415,Pieridae,Colias,Colias eurytheme,California,1973,4,20,1973-04-20,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.75167,34.06389,1039045781,Pieridae,Colias,Colias eurytheme,California,1973,4,20,1973-04-20,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.68489,34.020228,1039085331,Pieridae,Colias,Colias eurytheme,California,1970,4,17,1970-04-17,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-116.719002,33.740002,1039175281,Pieridae,Colias,Colias eurytheme,California,1968,6,14,1968-06-14,US,Riverside County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-116.719002,33.740002,1039038233,Pieridae,Colias,Colias eurytheme,California,1968,6,14,1968-06-14,US,Riverside County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-116.719002,33.740002,1039175291,Pieridae,Colias,Colias eurytheme,California,1968,6,14,1968-06-14,US,Riverside County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.68489,34.020228,1039068145,Pieridae,Colias,Colias eurytheme,California,1967,7,18,1967-07-18,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.68489,34.020228,1825748433,Pieridae,Colias,Colias eurytheme,California,1967,7,18,1967-07-18,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-119.75167,34.06389,1039143222,Pieridae,Colias,Colias eurytheme,California,1967,7,18,1967-07-18,US,Santa Barbara County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-117.652073,34.108251,1039134671,Pieridae,Colias,Colias eurytheme,California,1965,8,7,1965-08-07,US,San Bernardino County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.5075,34.00194,1039159266,Pieridae,Colias,Colias eurytheme,California,1958,2,16,1958-02-16,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.5075,34.00194,1039119332,Pieridae,Colias,Colias eurytheme,California,1958,3,1,1958-03-01,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.517675,34.08899,1039103990,Pieridae,Colias,Colias eurytheme,California,1958,4,13,1958-04-13,US,Los Angeles County,Colias eurytheme
"Colias eurytheme Boisduval, 1852",-118.592262,34.077048,1039137360,Pieridae,Colias,Colias eurytheme,California,1956,6,27,1956-06-27,US,Los Angeles County,Colias eurytheme
