name,longitude,latitude,date,country,state
"Colias eurytheme Boisduval, 1852",-117.348585,33.599983,2019-03-31,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.346183,34.502378,2019-03-18,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.375542,33.138768,2019-03-30,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.317978,34.497167,2019-05-25,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.690955,33.750417,2019-05-05,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.82212,34.129922,2019-05-18,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.526244,34.040304,2019-05-24,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.31675,33.32993,2019-05-01,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.316687,34.18943,2019-05-28,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.272828,34.525995,2019-05-27,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.710728,33.838565,2019-05-22,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.065125,34.44507,2019-05-31,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.622658,34.251114,2019-05-21,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.570854,34.049105,2019-05-15,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.075011,34.441925,2019-05-31,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.757992,34.12634,2019-06-29,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.044872,33.69649,2019-06-18,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.331384,33.725577,2019-06-11,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.28017,33.51202,2019-06-29,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.601647,33.070808,2019-06-13,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.570699,34.049267,2019-06-05,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.331383,33.72512,2019-06-11,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.930095,34.052516,2019-07-25,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.705301,34.102308,2019-07-30,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.624335,33.430313,2019-07-02,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.262243,34.239235,2019-07-13,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.342939,33.826851,2019-07-14,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.40728,34.345015,2019-07-12,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.615292,34.273167,2019-07-06,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.275804,34.123139,2019-07-31,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.08956,35.406664,2019-07-30,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.658177,34.259833,2019-07-27,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.16703,34.200332,2019-07-28,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.32055,33.732605,2019-07-09,United States of America,California
"Colias eurytheme Boisduval, 1852",-116.676264,33.795744,2019-07-13,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.841652,34.085106,2019-07-29,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.536832,34.03562,2019-07-29,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.573888,34.102905,2019-07-05,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.684198,33.750114,2019-07-07,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.906601,34.070497,2019-08-25,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.098196,33.751383,2019-08-22,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.708588,34.456008,2019-08-16,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.718133,34.097341,2019-08-01,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.549965,34.093231,2019-08-11,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.543592,33.721414,2019-08-11,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.906778,34.070059,2019-08-14,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.827835,34.08291,2019-09-02,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.407172,33.746086,2018-07-20,United States of America,California
"Colias eurytheme Boisduval, 1852",-117.105961,33.066652,2018-08-11,United States of America,California
"Colias eurytheme Boisduval, 1852",-118.406486,33.746778,2018-08-02,United States of America,California
"Colias eurytheme Boisduval, 1852",-119.380532,34.336576,2018-08-01,United States of America,California
