Year,Month,Day,Date,Site,start_time,end_time,Species,n,Family,Notes,lat,lon
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Colias eurytheme,1,Pieridae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Danaus gillipus,4,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Danaus plexippus,2,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Heliopetes ericetorum,15,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Junonia coenia,1,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Leptotes marina,1,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Ochlodes sylvanoides,1,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Phoebis sennae,2,Nymphalidae,Scenic Trail to Overlook Fire Rd trail,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Plebejus acmon,2,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Strymon melinus,1,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2014,September,24,2014-09-24,Big Sycamore Cyn,9:53,12:00,Vanessa cardui,1,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,acmon/lupini,2,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Anthocharis sara,1,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Colias eurytheme,3,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Colias harfordi,1,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Danaus plexippus,4,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Erynnis funeralis,1,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Heliopetes ericetorum,10,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Junonia coenia,5,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,February,24,2015-02-24,Big Sycamore Cyn,11:35,13:05,Phoebis sennae,1,Pieridae,NA,34.07977740135135,-119.01279468175676
